shipment_id,region,transport_mode,shipment_volume,distance_km,delivery_time_days,transport_cost,delivery_status
SHP0430,North,Road,209.53,683.81,4.01,2866.43,On Time
SHP0431,North,Road,61.92,1083.32,8.73,2948.27,Delayed
SHP0432,West,Rail,114.14,583.45,4.74,2131.37,On Time
SHP0433,East,Air,132.58,703.83,2.14,2723.21,On Time
SHP0434,North,Road,164.93,924.64,5.65,3075.12,On Time
SHP0435,North,Road,83.77,442.18,3.06,1703.79,On Time
SHP0436,East,Road,78.9,50.0,2.74,1173.01,On Time
SHP0437,North,Road,77.85,721.56,5.3,2115.69,On Time
SHP0438,West,Air,108.26,926.83,2.81,2662.94,On Time
SHP0439,East,Road,185.78,271.6,2.9,2273.46,On Time
SHP0440,North,Road,75.83,837.66,6.44,2520.14,On Time
SHP0441,North,Road,14.42,839.55,5.54,1802.6,On Time
SHP0442,West,Road,140.41,50.0,3.44,931.29,On Time
SHP0443,South,Rail,92.05,387.84,3.93,1513.04,On Time
SHP0444,South,Rail,116.94,539.17,7.51,2270.48,On Time
SHP0445,West,Road,31.38,599.71,5.89,1424.25,On Time
SHP0446,West,Road,64.83,441.92,5.42,1543.49,On Time
SHP0447,West,Road,134.42,426.84,2.57,1894.51,Delayed
SHP0448,East,Air,39.7,1118.02,4.1,2216.93,On Time
SHP0449,South,Air,114.0,619.88,2.95,2104.15,On Time
SHP0450,North,Road,86.9,455.39,2.18,1885.1,On Time
SHP0451,West,Road,56.87,638.47,6.81,1338.17,On Time
SHP0452,East,Rail,54.11,800.39,5.34,2202.05,On Time
SHP0453,South,Road,47.07,664.46,4.84,1574.57,On Time
SHP0454,West,Air,91.78,592.4,2.01,2167.73,On Time
SHP0455,North,Road,97.75,468.0,5.01,1999.48,Delayed
SHP0456,South,Road,71.61,464.6,2.31,1601.97,On Time
SHP0457,North,Road,45.26,482.61,4.98,1439.06,On Time
SHP0458,South,Road,112.25,744.87,7.7,2299.7,Delayed
SHP0459,North,Road,141.76,371.63,4.26,1693.29,On Time
SHP0460,North,Rail,123.23,760.12,7.65,2962.05,Delayed
SHP0461,North,Road,235.77,1045.64,8.3,3784.68,On Time
SHP0462,East,Road,79.86,741.2,4.16,2572.16,On Time
SHP0463,East,Road,176.33,546.52,6.08,2391.76,On Time
SHP0464,East,Road,60.22,286.52,2.37,1331.57,On Time
SHP0465,West,Road,54.51,1091.87,7.85,2453.06,Delayed
SHP0466,South,Road,94.92,322.4,3.14,1659.6,On Time
SHP0467,South,Rail,196.75,887.6,8.94,3310.46,On Time
SHP0468,West,Road,74.91,828.79,5.68,2287.74,On Time
SHP0469,North,Road,31.36,583.7,4.83,1698.44,On Time
SHP0470,West,Road,140.35,576.37,3.25,2264.5,On Time
SHP0471,North,Rail,84.84,136.0,4.34,800.54,On Time
SHP0472,West,Air,104.4,742.42,3.75,2581.09,On Time
SHP0473,North,Rail,56.24,823.58,6.55,1954.47,On Time
SHP0474,West,Road,94.43,345.06,2.95,1697.48,On Time
SHP0475,East,Road,34.58,606.37,5.42,1845.48,On Time
SHP0476,West,Road,218.59,660.6,4.46,3031.96,On Time
SHP0477,North,Road,154.1,813.68,6.18,3181.88,On Time
SHP0478,East,Road,92.09,651.06,6.3,2253.7,On Time
SHP0479,West,Road,138.31,194.63,1.6,1474.0,On Time
SHP0480,East,Road,60.31,501.62,4.53,1933.72,On Time
SHP0481,East,Road,150.52,712.9,5.58,2452.26,On Time
SHP0482,East,Rail,73.01,885.63,6.88,2367.4,On Time
SHP0483,South,Road,70.04,477.06,3.84,1606.3,On Time
SHP0484,East,Road,49.08,1262.54,9.59,3120.1,On Time
SHP0485,East,Rail,111.49,119.55,1.52,1528.73,On Time
SHP0486,West,Road,89.88,492.16,1.97,2060.82,On Time
SHP0487,North,Rail,179.29,626.75,6.69,2804.71,On Time
SHP0488,South,Road,45.57,593.79,3.56,1628.29,Delayed
SHP0489,West,Road,111.77,305.0,4.3,1236.03,On Time
SHP0490,West,Rail,161.96,775.4,9.11,2618.88,On Time
SHP0491,South,Rail,290.4,753.91,8.23,4219.11,Delayed
SHP0492,East,Rail,98.71,663.43,7.19,1816.9,On Time
SHP0493,South,Road,72.21,742.92,9.08,2000.51,On Time
SHP0494,North,Road,97.33,531.34,5.71,2211.33,On Time
SHP0495,South,Road,171.85,197.14,3.33,1929.61,On Time
SHP0496,South,Road,171.82,449.34,6.73,2566.54,Delayed
SHP0497,East,Air,82.91,693.98,3.99,2279.82,Delayed
SHP0498,North,Road,170.26,695.57,7.66,3141.86,On Time
SHP0499,West,Air,87.53,661.59,2.62,2198.5,On Time
SHP0500,West,Road,137.49,803.64,4.41,2924.07,Delayed
